Job_Title,Company,Date_Posted,Salary_USD,Location_City,Location_Country,Work_Type,Experience_Level,Primary_Skill,Secondary_Skill,Remote_Allowed
ML Engineer,NeuralFlow,2024-10-20,47301,Bangalore,India,Remote,Junior,Transformers,NLP,True
Chief AI Officer,BotWorks,2023-11-17,147388,San Francisco,USA,Hybrid,Mid,SQL,LLM Fine-tuning,True
ML Engineer,GlobalTrust,2023-08-31,86791,London,UK,Onsite,Junior,SQL,MLOps,False
ML Engineer,SaaSify,2023-11-27,82055,Berlin,Germany,Hybrid,Junior,NLP,LLM Fine-tuning,True
AI Research Scientist,TechNova,2024-01-15,218296,San Francisco,USA,Hybrid,Senior,TensorFlow,RAG,True
GenAI Specialist,OpenAI Systems,2023-05-04,110918,Berlin,Germany,Remote,Mid,NLP,SQL,True
Chief AI Officer,OpenAI Systems,2024-02-17,97950,Berlin,Germany,Onsite,Mid,RAG,SQL,False
AI Research Scientist,OpenAI Systems,2025-12-25,102655,Berlin,Germany,Hybrid,Mid,LLM Fine-tuning,NLP,True
Prompt Engineer,SaaSify,2024-01-02,103459,Toronto,Canada,Hybrid,Mid,Python,RAG,True
Data Scientist,TechNova,2023-07-14,101439,Berlin,Germany,Remote,Mid,Azure AI,TensorFlow,True
GenAI Specialist,NeuralFlow,2024-09-24,93715,Berlin,Germany,Hybrid,Mid,MLOps,Python,True
AI Ethicist,GlobalTrust,2024-06-20,143793,San Francisco,USA,Hybrid,Mid,RAG,Python,True
AI Ethicist,DeepMind,2024-10-28,74157,Toronto,Canada,Hybrid,Junior,Transformers,RAG,True
GenAI Specialist,SaaSify,2025-07-10,147659,London,UK,Remote,Senior,SQL,Transformers,True
AI Research Scientist,NeuralFlow,2025-12-21,163930,San Francisco,USA,Onsite,Mid,RAG,MLOps,False
Prompt Engineer,GlobalTrust,2023-03-30,133658,Berlin,Germany,Remote,Senior,NLP,Python,True
Chief AI Officer,SaaSify,2024-01-19,285771,San Francisco,USA,Hybrid,Lead,TensorFlow,RAG,True
Data Scientist,TechNova,2024-04-01,103692,Berlin,Germany,Hybrid,Mid,TensorFlow,RAG,True
Data Scientist,BotWorks,2025-03-21,207156,San Francisco,USA,Onsite,Senior,LLM Fine-tuning,MLOps,False
ML Engineer,DeepMind,2025-12-03,208604,San Francisco,USA,Hybrid,Senior,Azure AI,NLP,True
Chief AI Officer,OpenAI Systems,2024-07-08,191265,San Francisco,USA,Hybrid,Senior,TensorFlow,Azure AI,True
GenAI Specialist,GlobalTrust,2025-06-02,138521,London,UK,Remote,Senior,LLM Fine-tuning,NLP,True
AI Ethicist,SaaSify,2024-11-04,88337,Bangalore,India,Hybrid,Senior,RAG,NLP,True
ML Engineer,DeepMind,2023-11-01,114047,San Francisco,USA,Hybrid,Junior,TensorFlow,MLOps,True
Prompt Engineer,TechNova,2024-04-20,61529,Bangalore,India,Remote,Mid,Transformers,Azure AI,True
AI Research Scientist,GlobalTrust,2023-12-31,111920,London,UK,Onsite,Mid,NLP,SQL,False
ML Engineer,BotWorks,2024-11-10,82414,Bangalore,India,Onsite,Senior,SQL,Azure AI,False
Data Scientist,TechNova,2023-05-18,426550,San Francisco,USA,Remote,Executive,Azure AI,NLP,True
ML Engineer,DeepMind,2024-02-16,125461,Berlin,Germany,Hybrid,Senior,LLM Fine-tuning,TensorFlow,True
Data Scientist,TechNova,2024-05-23,156717,London,UK,Hybrid,Senior,TensorFlow,Python,True
Data Scientist,SaaSify,2025-03-30,138422,London,UK,Remote,Senior,LLM Fine-tuning,Python,True
Data Scientist,GlobalTrust,2023-05-27,85464,Berlin,Germany,Remote,Junior,LLM Fine-tuning,MLOps,True
NLP Engineer,SaaSify,2023-01-03,110464,Berlin,Germany,Hybrid,Mid,MLOps,Azure AI,True
ML Engineer,NeuralFlow,2025-01-14,147689,Berlin,Germany,Hybrid,Senior,RAG,LLM Fine-tuning,True
ML Engineer,TechNova,2025-07-21,160107,London,UK,Hybrid,Senior,TensorFlow,LLM Fine-tuning,True
Data Scientist,DeepMind,2025-03-05,315270,London,UK,Hybrid,Executive,Azure AI,Transformers,True
ML Engineer,TechNova,2024-01-15,126072,Toronto,Canada,Hybrid,Senior,Transformers,LLM Fine-tuning,True
Data Scientist,BotWorks,2023-12-23,158180,London,UK,Onsite,Senior,MLOps,Azure AI,False
Data Scientist,BotWorks,2024-11-28,171017,San Francisco,USA,Hybrid,Mid,Azure AI,Python,True
NLP Engineer,NeuralFlow,2024-01-08,126948,Toronto,Canada,Hybrid,Senior,TensorFlow,Transformers,True
Prompt Engineer,TechNova,2025-09-04,73760,Bangalore,India,Remote,Senior,Azure AI,LLM Fine-tuning,True
Data Scientist,NeuralFlow,2025-08-29,81233,Bangalore,India,Remote,Senior,Transformers,MLOps,True
ML Engineer,SaaSify,2023-03-05,99549,Berlin,Germany,Onsite,Mid,Python,RAG,False
Data Scientist,GlobalTrust,2025-01-27,180905,Berlin,Germany,Remote,Lead,Python,TensorFlow,True
